wavelenght,n,k
2.1751579e-09,0.9982030001,0.00061410002
2.1944069e-09,0.998135,0.00066070003
2.2061211e-09,0.998093,0.00072539999
2.2140000999999996e-09,0.998071,0.00078850001
2.217961e-09,0.998064,0.0008411
2.221935e-09,0.998088,0.00091070001
2.225925e-09,0.998155,0.0009638
2.2275241e-09,0.998191,0.00097330002
2.2299279999999997e-09,0.998237,0.00094970001
2.233946e-09,0.99826,0.00091459998
2.2379779e-09,0.998273,0.00091260002
2.242025e-09,0.9983259999,0.00091499998
2.246087e-09,0.998352,0.00082439999
2.2501628999999997e-09,0.998291,0.00076730002
2.2542551e-09,0.998226,0.0007869
2.2583611e-09,0.9981730001,0.00081499998
2.262482e-09,0.99815,0.00090320001
2.266618e-09,0.998171,0.00097430003
2.2707691e-09,0.9982349999,0.0010629999
2.2728510999999996e-09,0.998312,0.001099
2.2749361e-09,0.9983870001,0.001057
2.2791179e-09,0.998427,0.000948
2.2833149e-09,0.99838,0.00088190002
2.287528e-09,0.998316,0.00089349999
2.291756e-09,0.998263,0.00092710002
2.296e-09,0.99813,0.0009944
2.3002599e-09,0.998083,0.001378
2.3045348999999996e-09,0.998507,0.0018889999
2.3062499e-09,0.998919,0.001993
2.3079671e-09,0.99934939999,0.00182
2.309687e-09,0.99959220001,0.001333
2.3114089999999997e-09,0.99957640001,0.00091489998
2.313134e-09,0.9994426,0.0007414
2.3148621e-09,0.99931490002,0.00062040001
2.316592e-09,0.99921879999,0.00051639997
2.318325e-09,0.99912220001,0.0004471
2.32006e-09,0.99903260003,0.0004129
2.3217978999999997e-09,0.998958,0.00038740001
2.3261539e-09,0.998839,0.00037170001
2.3305259999999998e-09,0.9987530001,0.00033839999
2.3349150999999997e-09,0.998676,0.00033139999
2.339321e-09,0.998625,0.00033320001
2.3437431e-09,0.998595,0.00032620001
2.3459599e-09,0.99859,0.00031820001
2.348182e-09,0.9985700001,0.00028370001
2.3490719000000002e-09,0.998557,0.00026619999
2.3616001000000002e-09,0.998415,0.0002711
2.3843079999999998e-09,0.998274,0.00028010001
2.4796801e-09,0.997921,0.00032009999
2.5830001e-09,0.9976369999,0.0003675
2.6953040999999996e-09,0.9973540001,0.0004243
2.817818e-09,0.9970509999,0.00049270003
2.9519999e-09,0.9967159999,0.00057590002
3.0996001e-09,0.9963400001,0.00067749998
3.2627370999999997e-09,0.9959109998,0.0008033
3.4439998999999997e-09,0.9954169998,0.00096089998
3.646588e-09,0.9948419998,0.001159
3.874499999999999e-09,0.9941690001,0.001412
4.1327997999999996e-09,0.993369,0.00174
4.2753099e-09,0.9929169999,0.00194
4.428000199999999e-09,0.9924130002,0.00217
4.592e-09,0.99187,0.0024359999
4.7686161000000004e-09,0.9912649998,0.0027429999
4.9593602e-09,0.9906000001,0.0031010001
5.1660002e-09,0.98985,0.00352
5.3906090999999996e-09,0.98905,0.004011
5.6356359e-09,0.98816,0.0045909998
5.9039998e-09,0.98715,0.0052780001
6.1992002e-09,0.98604,0.0060950001
6.3581541e-09,0.98544,0.0065609999
6.5254741e-09,0.98479,0.0070620002
6.7018382e-09,0.984099999,0.0076210001
6.887999799999999e-09,0.983349999,0.0082729999
6.9653932e-09,0.983030001,0.0085760001
7.0445458e-09,0.98275,0.0089339996
7.084799899999999e-09,0.98264,0.0091129998
7.101030999999999e-09,0.98261,0.0091749998
7.1255168999999994e-09,0.982559999,0.0092409998
7.1667059999999995e-09,0.982410001,0.0093550002
7.208372e-09,0.982270001,0.0094980001
7.250526e-09,0.98215,0.0096469996
7.2931768e-09,0.982009999,0.00973
7.3363319999999994e-09,0.981799999,0.0098390002
7.3799998e-09,0.98158,0.01001
7.424191999999999e-09,0.98137,0.01019
7.468916e-09,0.98119,0.01043
7.514182e-09,0.981040001,0.01065
7.5599998e-09,0.980909999,0.01089
7.583118999999999e-09,0.98089,0.01101
7.6063811e-09,0.980869999,0.01106
7.6533342e-09,0.98072,0.01116
7.7008698e-09,0.98051,0.01128
7.7490001e-09,0.980280001,0.01147
7.7977362e-09,0.980049999,0.01168
7.8470884e-09,0.97978,0.01193
7.867004699999998e-09,0.97965,0.01209
7.8870244e-09,0.97954,0.0123
7.9071429e-09,0.979499999,0.01258
7.927367499999998e-09,0.979560001,0.01282
7.9476926e-09,0.97968,0.01306
7.9681231e-09,0.97995,0.01322
7.988660599999999e-09,0.980280001,0.01315
8.0093024e-09,0.98041,0.01283
8.0300523e-09,0.98026,0.01257
8.0509093e-09,0.98006,0.01251
8.1035299e-09,0.979660001,0.0125
8.1568426e-09,0.979280001,0.01264
8.210861099999999e-09,0.978979999,0.01284
8.2656005e-09,0.978700001,0.01303
8.3210738e-09,0.978429999,0.01326
8.3772978e-09,0.97817,0.01348
8.4342863e-09,0.977940001,0.01371
8.4920553e-09,0.97769,0.01391
8.5037034e-09,0.977630001,0.01395
8.5506206e-09,0.977399999,0.01414
8.856000399999998e-09,0.976059999,0.01543
9.1840001e-09,0.97436,0.01685
9.537231199999999e-09,0.972340001,0.019130001
9.611163299999998e-09,0.97192,0.01976
9.686250199999999e-09,0.971480001,0.02049
9.76252e-09,0.97113,0.021430001
9.8400004e-09,0.97113,0.02258
